Config,G1_masked,G1_recon,Delta_G1,G2_masked,G2_recon,Delta_G2,G3_masked,G3_recon,Delta_G3,KL_masked,KL_recon,Delta_KL,MI_masked,MI_recon,Delta_MI,Chi2_masked,Chi2_recon,Delta_Chi2,TVD_masked,TVD_recon,Delta_TVD,Original_Accuracy,Masked_Accuracy,Accuracy_Difference,Time_Mask,Time_Construct,Time_Model
config01,0.2491146755555555,0.016047295810979745,0.23413717138576354,0.9993333333333333,0.5555555555555561,0.4451111111111125,0.5265333333333333,0.26061227197346676,0.2674122719734679,0.0,13.044352288275318,13.044352288275318,0.19807212391276466,0.19723881125451317,0.0008333126633809574,0.25880796848152426,0.2560327312055421,0.0027752372759844756,0.0,0.48734828144276343,0.48734828144276343,0.8287,0.79,3.8667,0.5930464267730713,0.8688781261444092,4.308473110198975
config02,0.2127090133333333,0.007054364502722855,0.20571018245246664,0.9998666666666666,0.44444444444444314,0.5556888888888903,0.5092,0.2056294231669021,0.3036738676113468,0.0,15.617830589165651,15.617830589165651,0.2658508646503127,0.18003146648789142,0.08581939816755074,0.3346441240287311,0.24082155522234425,0.09382256880638713,0.0,0.48503713309127566,0.48503713309127566,0.8287,0.812,1.6667,0.5913255214691162,0.853675365447998,4.350064516067505
config03,0.28972695111111113,0.059848080997979794,0.2772267990020202,0.9993555555555554,0.5555555555555566,0.44508888888889,0.5575777777777778,0.3085333333333329,0.2842888888888895,0.0,12.692073312329105,12.692073312329105,0.12664267945261576,0.07592158393721374,0.0507210955205315,0.1824286267415846,0.12519304988370777,0.05723557685787729,0.0,0.5153250579975577,0.5153250579975577,0.8287,0.642,18.6667,0.6181771755218506,0.7842292785644531,4.292179822921753
config04,0.2558774,0.05275845257907354,0.20429796823429688,0.9997111111111112,0.5555555555555557,0.4447333333333334,0.5445333333333333,0.2530366824816188,0.2932264260713624,0.0,20.024200228879607,20.024200228879607,0.1719336440847444,0.1603243281735733,0.011609315916300553,0.24041438300412235,0.2171231224867856,0.02329126051733673,0.0,0.6966568997119655,0.6966568997119655,0.8287,0.73,9.8667,0.6413614749908447,0.8164992332458496,4.352144479751587
config05,0.23461512444444443,0.011130732679991222,0.22357886870803434,0.9997333333333334,0.44444444444444436,0.5558222222222224,0.5299111111111111,0.22635188824276428,0.30368522157609823,0.0,15.462886754453486,15.462886754453486,0.206441613700869,0.12051811324549361,0.08592350046050494,0.25944025885462385,0.16543667557528263,0.09400358327934148,0.0,0.46923306439384826,0.46923306439384826,0.8287,0.782,4.6667,0.6045739650726318,0.795567512512207,4.421829700469971
config06,0.2623584577777778,0.01212928745174418,0.25028286587636,0.9993111111111111,0.5555555555555568,0.4451333333333346,0.5349777777777778,0.2714231924694566,0.2636898591361245,0.0,12.962222679144105,12.962222679144105,0.18551262965715737,0.17520829304150898,0.010304336619495535,0.26181082410261497,0.2424232673256056,0.01938755677700963,0.0,0.5200099288200365,0.5200099288200365,0.8287,0.7753,5.3333,0.5891659259796143,0.803037166595459,4.33050274848938
config07,0.21904466666666667,0.052840336269669747,0.21467714259657694,0.9934222222222222,0.5555555555555557,0.45102222222222227,0.5075777777777778,0.28966218089878504,0.25599551423211836,0.0,17.85754837434571,17.85754837434571,0.2723462508853678,0.13145647769120855,0.14088977319800638,0.3327595730727675,0.17133900903469282,0.16142056403807473,0.0,0.6306735945222769,0.6306735945222769,0.8287,0.7953,3.3333,0.6021728515625,0.8160309791564941,4.52582573890686
config08,0.2690835066666667,0.014937988469413056,0.2552153098384413,0.9992222222222222,0.5555555555555552,0.4452222222222219,0.5441111111111111,0.2781900497512441,0.2674122719734665,0.0,12.991504362530293,12.991504362530293,0.1485811174962509,0.14774780509444205,0.0008333124069383009,0.20824217494198274,0.2054669376659997,0.0027752372759836243,0.0,0.47454765438517477,0.47454765438517477,0.8287,0.6893,13.9333,0.6283254623413086,0.8070621490478516,4.280435562133789
config09,0.2629468,0.0656043980745285,0.23736716428342294,0.9988888888888889,0.6666666666666669,0.33422222222222264,0.5601777777777778,0.36446933080846844,0.20429155303069066,0.0,12.595839042802972,12.595839042802972,0.12857774154301607,0.10473815102467575,0.02383959052090505,0.19741787054761417,0.15914587591638563,0.03827199463122864,0.0,0.5759794660503114,0.5759794660503114,0.8287,0.6547,17.4,0.6020903587341309,0.7742953300476074,4.505059719085693
config10,0.27682264,0.06653268613164717,0.25763788275724164,0.9998666666666666,0.555555555555555,0.44457777777777807,0.5469333333333333,0.27219401709401836,0.309983760683762,0.0,15.872417184182114,15.872417184182114,0.14192717318620893,0.08110194876359342,0.06082522442774499,0.1800486077814504,0.10390342106811717,0.07614518671333516,0.0,0.5785632004532524,0.5785632004532524,0.8287,0.6453,18.3333,0.6049582958221436,0.8280155658721924,4.265043258666992
config11,0.2410170977777778,0.04514096134796514,0.23690322560722438,0.9992666666666667,0.3333333333333332,0.6673999999999999,0.5325111111111112,0.1694294231669007,0.3714072009446785,0.0,20.386603676574854,20.386603676574854,0.19432220419894608,0.08828839559932072,0.10603380860475484,0.2500899283084444,0.1227859957103376,0.12730393259810718,0.0,0.5730914682539674,0.5730914682539674,0.8287,0.7513,7.7333,0.5949044227600098,0.785027265548706,4.417578220367432
config12,0.21244609777777776,0.06277569514258308,0.17539242149621226,0.9931333333333333,0.6666666666666664,0.34020000000000006,0.5298222222222222,0.3350853733682421,0.20526315114601992,0.0,17.52603979242836,17.52603979242836,0.23862386913952782,0.21485749264663534,0.023766376496739596,0.32259811601323574,0.2845513525450275,0.03804676346820851,0.0,0.6430923495012019,0.6430923495012019,0.8287,0.7687,6.0,0.587155818939209,0.8254349231719971,4.619710922241211
config13,0.2295632933333333,0.016930680837641123,0.21274184166787485,0.9989111111111111,0.5555555555555567,0.44553333333333434,0.5317555555555555,0.26520817119191314,0.266785948969692,0.0,15.162806126387501,15.162806126387501,0.20072568148340142,0.20005380593154368,0.0006718755569872386,0.27436717187577503,0.2727607584898786,0.0016064133858964408,0.0,0.5341678417488939,0.5341678417488939,0.8287,0.7567,7.2,0.6061873435974121,0.7954933643341064,4.4261720180511475
config14,0.23275552444444447,0.030209152455467625,0.20264084893255793,0.9994222222222222,0.666666666666667,0.3336888888888892,0.5181333333333333,0.32124077713165333,0.19701855490943132,0.0,9.816751653672261,9.816751653672261,0.21988922125016452,0.20906232113701181,0.010826900114435097,0.30645146771955756,0.2860655434266348,0.02038592429292305,0.0,0.48237190304686745,0.48237190304686745,0.8287,0.802,2.6667,0.6145620346069336,0.7808256149291992,4.502842426300049
config15,0.2555358222222222,0.052260532046493204,0.2516930107058057,0.9998888888888889,0.44444444444444486,0.555666666666667,0.5208666666666666,0.23561227197346624,0.321990049751244,0.0,18.081715938566287,18.081715938566287,0.2198586689071468,0.08295653129906676,0.13690213761320955,0.2649418809901875,0.11223696451428472,0.15270491647590287,0.0,0.5752850497495136,0.5752850497495136,0.8287,0.7713,5.7333,0.5824077129364014,0.7650809288024902,4.295512676239014
config16,0.27048287111111113,0.002867314455817078,0.267615556655294,0.9999111111111111,0.3333333333333347,0.6667555555555569,0.5412444444444444,0.144288888888888,0.3969555555555565,0.0,15.811064820722727,15.811064820722727,0.17240449218349543,0.1623003631559859,0.010104129033921425,0.21389583323241385,0.19498622337695692,0.01890960985545739,0.0,0.4555524071780015,0.4555524071780015,0.8287,0.7573,7.1333,0.6016111373901367,0.8216273784637451,4.287641525268555
config17,0.3165804844444444,0.020103627063875456,0.29647685738056895,0.9998888888888889,0.33333333333333326,0.6665555555555557,0.5695555555555555,0.16955555555555563,0.40000000000000013,0.0,15.206885873817349,15.206885873817349,0.08489703133665663,0.08475003002099166,0.00014700132207684017,0.13012304164396826,0.1299562081438014,0.00016683350016688883,0.0,0.4803404228085384,0.4803404228085384,0.8287,0.6667,16.2,0.6034648418426514,0.7331340312957764,4.234596490859985
config18,0.26306394666666666,0.0282022357451761,0.23508380454334674,0.9996444444444444,0.44444444444444453,0.555688888888889,0.5336222222222222,0.174620933778636,0.359104579221832,0.0,20.022592547469827,20.022592547469827,0.186734963020248,0.10072183818056352,0.08601312484481397,0.22689495696867804,0.13290891255886944,0.0939860444098086,0.0,0.6416346774897437,0.6416346774897437,0.8287,0.7533,7.5333,0.6258630752563477,0.7728567123413086,4.374667644500732
