Config,G1_masked,G1_recon,Delta_G1,G2_masked,G2_recon,Delta_G2,G3_masked,G3_recon,Delta_G3,KL_masked,KL_recon,Delta_KL,MI_masked,MI_recon,Delta_MI,Chi2_masked,Chi2_recon,Delta_Chi2,TVD_masked,TVD_recon,Delta_TVD,Original_Accuracy,Masked_Accuracy,Accuracy_Difference,Time_Mask,Time_Construct,Time_Model
config01,0.1546880511217512,0.07303233543010602,0.08539204855494552,0.9947636743343263,0.7142857142858003,0.29095061138004535,0.2373062427882612,0.169556578401396,0.0698557970109189,0.0,15.425307980091997,15.425307980091997,0.011570253531913988,0.0033408918908863923,0.008229361642676373,0.01647124829655341,0.004410675018906853,0.012060573277646562,0.0,0.5844667910459188,0.5844667910459188,0.7821,0.8085,2.641,1.0417308807373047,2.611022472381592,2.0142786502838135
config02,0.15378571002021973,0.07803476248252285,0.08171281546970786,0.9947878048673479,0.6428571428571427,0.36235505227550935,0.23708687430624723,0.1514046499526933,0.0877883569776077,0.0,14.431909321628316,14.431909321628316,0.02291030026483065,0.013750672040244574,0.009159628226647046,0.03236404359954849,0.01879682662470007,0.013567216974848422,0.0,0.4951414699505821,0.4951414699505821,0.7821,0.8308,4.8726,0.9450221061706543,1.1438448429107666,1.960829734802246
config03,0.16570221632328902,0.03741845054630004,0.14057226857007035,1.0,0.35714285714285715,0.6428571428571429,0.2406647742478952,0.08585863017545091,0.15480614407244425,0.0,18.947071948111976,18.947071948111976,0.0027063959089787073,0.002661065151642078,4.533076104639601e-05,0.003941502396572914,0.0038782759892568358,6.32264073160803e-05,0.0,0.528476640278146,0.528476640278146,0.7821,0.7675,1.4536,0.8463723659515381,1.0895655155181885,1.8603527545928955
config04,0.13423965408090807,0.055045652979266946,0.08405310413041889,0.9944346216113054,0.7857142857142856,0.21985109267440914,0.236926735314377,0.18626588317255738,0.05254324390647702,0.0,9.960609921371814,9.960609921371814,0.029964548476761655,0.023706908869160683,0.0062576396088375565,0.04093448006364793,0.03189302919316082,0.009041450870487145,0.0,0.5369641615716575,0.5369641615716575,0.7821,0.8347,5.2615,0.9947359561920166,1.1535353660583496,2.008591890335083
config05,0.1540264520569619,0.0787239838935246,0.07915560929282126,0.9865702615311044,0.7142857142857142,0.2991440241831815,0.23647044887178792,0.16796089944640985,0.06963130113244943,0.0,16.24342876469392,16.24342876469392,0.020828223460181372,0.011161324803158873,0.009666898658671276,0.028145975900964775,0.007015892335694379,0.02113008356527039,0.0,0.6364568714503214,0.6364568714503214,0.7821,0.8054,2.3339,1.0002024173736572,7.013521194458008,8.01576852798462
config06,0.1512466451182926,0.043666475950876756,0.12002339034324491,0.9893386917741207,0.4999999999999999,0.5106613082258794,0.23965348554581076,0.11898101224274897,0.1206724733030619,0.0,19.496757500020266,19.496757500020266,0.016720351779843403,0.01395870906694276,0.002761642715786013,0.019337695399007794,0.008569423848002163,0.010768271551005626,0.0,0.6525560680479231,0.6525560680479231,0.7821,0.7615,2.0575,0.9264011383056641,7.110867500305176,7.779874801635742
config07,0.1477367775000025,0.06291535873984881,0.09107658902014139,0.995180474450153,0.6428571428571427,0.3619623826927043,0.23626204881387466,0.15222392891661546,0.08796870684990117,0.0,13.119557765825059,13.119557765825059,0.02567753972696677,0.014124179599755846,0.011553360129271906,0.03234335866686856,0.015426729715382444,0.01691662895148614,0.0,0.49168757235064364,0.49168757235064364,0.7821,0.8114,2.9379,0.9391045570373535,1.1477348804473877,2.0262389183044434
config08,0.14427525940659175,0.06300425954864218,0.10848352963511203,0.9996402356894972,0.7142857142857142,0.28607405002478875,0.24006589829199704,0.1705312903011324,0.06953460799086479,0.0,12.367621910252371,12.367621910252371,0.020577404023482078,0.01841140097097959,0.002166003054151274,0.027561568519898386,0.02428926277948539,0.003272305740413016,0.0,0.5988792067583644,0.5988792067583644,0.7821,0.813,3.0914,0.9878411293029785,1.1538608074188232,1.8624908924102783
config09,0.1393571273838531,0.03781463237962125,0.1015424950042318,0.9996468167439575,0.7857142857142054,0.21463889754183763,0.24019751938120543,0.18859547135707597,0.05160204802416681,0.0,9.263337961256727,9.263337961256727,0.020626359694926242,0.017630802718678496,0.002995556977072138,0.026070025383060243,0.022099937151070108,0.003970088231990175,0.0,0.5655500421862503,0.5655500421862503,0.7821,0.7975,1.5457,1.0367274284362793,2.533048629760742,1.8855185508728027
config10,0.1256928649348005,0.05948269500803148,0.10164980291022566,0.999135688180865,0.6428571428571429,0.35800716896199225,0.2404870857774639,0.1604312001075376,0.09341469566123536,0.0,15.499271256790905,15.499271256790905,0.02125198086518972,0.017218006218492204,0.004033974648758476,0.026620709539066836,0.019311030916180277,0.0073096786228865574,0.0,0.5299994011762854,0.5299994011762854,0.7821,0.7896,0.7575,1.0370047092437744,2.008615493774414,3.0657436847686768
config11,0.13748812294094814,0.032945929421960854,0.11739540381710532,0.9889855085180782,0.6428571428571429,0.368157348624779,0.2385478683964603,0.15227676044283053,0.08627110795362983,0.0,14.273968521429813,14.273968521429813,0.027394764482521712,0.023488051219389794,0.003906713265192895,0.034964448617434855,0.022556967837850234,0.012407480779584623,0.0,0.6678716544159702,0.6678716544159702,0.7821,0.8024,2.0371,1.0007925033569336,6.999986410140991,8.096443891525269
config12,0.14424636988249734,0.060649169308927955,0.0996220362299511,0.9947943859218082,0.7857142857142857,0.21949132836390609,0.23705835640358539,0.18650937469146392,0.05265511433617524,0.0,8.838418190986728,8.838418190986728,0.020605236858658314,0.012330548894134654,0.008274687965760233,0.028637522529817796,0.016513722844855184,0.012123799684962648,0.0,0.5158841279255024,0.5158841279255024,0.7821,0.8194,3.7363,1.0560331344604492,1.1772737503051758,2.0274317264556885
config13,0.17050107113834723,0.048447730297603187,0.12205334084074403,0.9996358483198567,0.42857142857142855,0.5717927231087145,0.2404607615596222,0.10285530016189412,0.13760546139772842,0.0,20.062386542693883,20.062386542693883,0.001973372680752238,0.001973372657431628,2.6618171044902797e-11,0.0028929460752181355,0.0028929460752181355,1.1151793774136618e-18,0.0,0.622494143744037,0.622494143744037,0.7821,0.7654,1.6685,0.9531345367431641,1.0934364795684814,1.8661181926727295
config14,0.15029833317895971,0.04303275830280678,0.10954689232475825,0.9993067955968359,0.5714285714285701,0.4292646329745941,0.23958328763156628,0.1366674105635362,0.10349231502856227,0.0,14.24412875976455,14.24412875976455,0.007744278501084495,0.0021804450331629694,0.005563833469982511,0.010680010113230142,0.002699068019550548,0.007980942093679595,0.0,0.46932369555174597,0.46932369555174597,0.7821,0.7741,0.7984,0.9481306076049805,2.486492395401001,1.886115550994873
config15,0.14451217130372798,0.11220248704840076,0.07157784408852608,0.9491438048146995,0.7142857142857143,0.3365704808995863,0.22838233293993257,0.16947867710110695,0.0787018055589026,0.0,19.5300680156385,19.5300680156385,0.04813799763649334,0.02687059882538015,0.021267398812349764,0.06180610812457655,0.0052214944222873,0.05658461370228924,0.0,0.6578356228090642,0.6578356228090642,0.7821,0.8276,4.5552,1.0725336074829102,22.56965708732605,23.15624213218689
config16,0.12478401399052984,0.07707105897825064,0.06440496262551892,0.9947943859218082,0.8571428571428584,0.1480627569353359,0.23636734568524134,0.20316431739978438,0.03559970241346588,0.0,10.75939833084968,10.75939833084968,0.025065386245129447,0.012602956460455167,0.012462429785086479,0.03451763073080898,0.016643676042173934,0.017873954688635032,0.0,0.5375726231633987,0.5375726231633987,0.7821,0.8166,3.4497,1.1027066707611084,2.5615999698638916,2.118356227874756
config17,0.1536538823698597,0.04888222869907837,0.1047716536707813,0.9996512041135978,0.642857142857143,0.3574916530292595,0.24028087940437073,0.15427746603079065,0.08600341337358024,0.0,13.481645430293137,13.481645430293137,0.010584230337531055,0.007588677856399321,0.0029955524827805116,0.012952247917453807,0.008982159685463658,0.003970088231990152,0.0,0.6132422126260184,0.6132422126260184,0.7821,0.7738,0.8292,0.9687492847442627,1.1640276908874512,1.872154951095581
config18,0.14910843517219066,0.076435105455926,0.08793222741156195,0.9944346216113054,0.7142857142857143,0.29127966410298034,0.23623572459603295,0.16837418977949742,0.06974392658119277,0.0,13.416398750916299,13.416398750916299,0.0266918615351464,0.020390774031262278,0.006301087505532913,0.03622868989794388,0.02712659165514175,0.009102098242802155,0.0,0.5827669957443525,0.5827669957443525,0.7821,0.8423,6.019,0.9871425628662109,1.170386791229248,2.073490858078003
config19,0.1426775363188748,0.05696541051903855,0.08868252070205218,0.9944346216113054,0.7857142857142051,0.2198510926744896,0.2364901920351692,0.18582933989336808,0.052543243906495514,0.0,9.966844189435193,9.966844189435193,0.026522414640741187,0.020266653403207994,0.00625576123876978,0.035646777479850865,0.026607905644364806,0.009038871835486063,0.0,0.5227976039536669,0.5227976039536669,0.7821,0.8349,5.282,1.0441780090332031,2.6793124675750732,2.143934726715088
config20,0.1318095131994938,0.025031597890591967,0.10679058423851033,0.9560473309436794,0.7142857142857142,0.3296669547706066,0.23262272569726278,0.16562520304541078,0.07060793874587672,0.0,10.268969412793206,10.268969412793206,0.047908646112266175,0.04255932644488503,0.005349319669029932,0.05897815221223095,0.025335932260211264,0.03364221995201968,0.0,0.6199902910577887,0.6199902910577887,0.7821,0.7885,0.6449,0.9911737442016602,22.62069320678711,24.84880304336548
config21,0.16904630723159725,0.011951717912686002,0.15709458931891124,1.0,0.3571428571428585,0.6428571428571441,0.2406647742478952,0.08585863017542161,0.15480614407247356,0.0,16.449688756019828,16.449688756019828,0.009124176016940566,0.009025773107580539,9.840291265758628e-05,0.011220072442131622,0.011106795871132858,0.00011327657099876676,0.0,0.509584635696355,0.509584635696355,0.7821,0.77,1.2079,0.9418745040893555,2.538287878036499,1.8554449081420898
config22,0.16055437138966933,0.06981945808158138,0.09675256361999365,0.9941011815186441,0.5714285714285713,0.4344702470527847,0.23607997297380304,0.13421716221779711,0.10454538134058645,0.0,15.007912588163562,15.007912588163562,0.01898678601283482,0.008090753841830254,0.010896032173065546,0.027863100855988743,0.011678397145653992,0.016184703710334775,0.0,0.4771068135717464,0.4771068135717464,0.7821,0.8289,4.6883,0.9452145099639893,1.1564829349517822,1.9948523044586182
config23,0.130530964347524,0.07474827617055249,0.0606143902622351,0.9984490648321611,0.7142857142857143,0.2872652208821246,0.2394801844450197,0.17200869484385967,0.07013397179656816,0.0,16.516965780815088,16.516965780815088,0.016601647715800343,0.012770264378432093,0.00383138333901704,0.01983532039327666,0.0126565967140414,0.007178723679235264,0.0,0.5749306064368669,0.5749306064368669,0.7821,0.768,1.4024,0.9913501739501953,2.15002179145813,2.9238169193267822
config24,0.1433504530618451,0.06776602283505755,0.09822777360039246,0.9947943859218082,0.6428571428571429,0.36234847122104885,0.2373062427882612,0.1589099162585962,0.09361050021749527,0.0,13.647119913559495,13.647119913559495,0.028605822751127673,0.017380913127279195,0.011224909625909442,0.03651505307978311,0.020484391570146393,0.016030661509636706,0.0,0.5111778000159707,0.5111778000159707,0.7821,0.8338,5.1694,0.97900390625,1.1387522220611572,1.9662001132965088
config25,0.1499224198421654,0.04448856988792562,0.12053547022122482,0.9989579997104335,0.5,0.5010420002895664,0.23923449174516406,0.1200355696560894,0.12161063535694978,0.0,17.526739516250668,17.526739516250668,0.022896811400060387,0.019082917759341393,0.003813893643604363,0.02943042824049757,0.023958198440324704,0.005472229800172876,0.0,0.5845659611156501,0.5845659611156501,0.7821,0.8154,3.3371,0.9156343936920166,1.110046148300171,1.904667854309082
config26,0.15267102600857713,0.05712110378958103,0.09784390859720994,0.9553124465289324,0.6428571428571429,0.4018304106139246,0.2318198370530916,0.14790985070678725,0.088096840400856,0.0,15.228395289370694,15.228395289370694,0.04155073305097547,0.033633136874260235,0.007917596178776227,0.050446247128631425,0.012793173314922296,0.037653073813709116,0.0,0.582441767952055,0.582441767952055,0.7821,0.783,0.0921,0.9844882488250732,22.399879932403564,24.962839603424072
config27,0.1467597589503151,0.056593585338326334,0.10287733445696766,0.9564005141997219,0.5714285714285714,0.4721709143717067,0.23339490275395197,0.13199601475266803,0.10500930409530847,0.0,17.82234724351598,17.82234724351598,0.03783203919403307,0.03129231834706096,0.006539720849445279,0.04621638142912239,0.010871725841207628,0.035344655587914754,0.0,0.6238175847307347,0.6238175847307347,0.7821,0.7652,1.689,1.0277550220489502,22.539419174194336,22.808713912963867
config28,0.15449398658292773,0.06663865155920949,0.10388017068010001,0.9947943859218082,0.7142857142856338,0.29091989979255795,0.23705835640358539,0.1693086920167665,0.06985579701090985,0.0,14.0093436214848,14.0093436214848,0.016420867509823557,0.008047776674944098,0.008373090836116056,0.02329889706107621,0.011061820805114832,0.012237076255961422,0.0,0.5922887852067714,0.5922887852067714,0.7821,0.8179,3.5828,1.0363328456878662,2.578476905822754,1.9325685501098633
config29,0.15771959944480168,0.0506976970260774,0.10904684990677739,0.9975957214371268,0.7142857142858002,0.28811856427724497,0.23877601161775486,0.17046006088797408,0.06928951066800329,0.0,10.519488037574032,10.519488037574032,0.014567183535376196,0.011066293477557934,0.0035008900590548326,0.01853945693773734,0.01333273936800063,0.005206717569736702,0.0,0.5087497162937912,0.5087497162937912,0.7821,0.7874,0.5323,0.9997010231018066,2.5460093021392822,1.999255895614624
