Config,G1_masked,G1_recon,Delta_G1,G2_masked,G2_recon,Delta_G2,G3_masked,G3_recon,Delta_G3,KL_masked,KL_recon,Delta_KL,MI_masked,MI_recon,Delta_MI,Chi2_masked,Chi2_recon,Delta_Chi2,TVD_masked,TVD_recon,Delta_TVD,Original_Accuracy,Masked_Accuracy,Accuracy_Difference,Time_Mask,Time_Construct,Time_Model
config01,0.1546880511217512,0.10284074905386567,0.0527127406087101,0.9947636743343263,0.7090493886200406,0.2857142857142857,0.2373062427882612,0.16947312077989882,0.07001803208922151,0.0,24.839855299115737,24.839855299115737,0.011570253531913988,0.0115824786345364,0.00023900232264988875,0.01647124829655341,0.016376002759955384,0.0004091817759115278,0.0,0.8571428571428592,0.8571428571428592,0.858,0.8028,5.5175,0.988356351852417,13.436627388000488,2.505030632019043
config02,0.15378571002021973,0.08864587432615234,0.06572568098292558,0.9947878048673479,0.6376449477244908,0.35714285714285715,0.23708687430624723,0.15131379783878168,0.08707173788098818,0.0,24.839855299115737,24.839855299115737,0.02291030026483065,0.023047941676896798,0.0005997650930419234,0.03236404359954849,0.03242488981457203,0.0009615414797107643,0.0,0.8214285714285615,0.8214285714285615,0.858,0.8099,4.8111,1.0014855861663818,12.177501916885376,2.54805064201355
config03,0.16570221632328902,0.04826373254138594,0.11767171072510904,1.0,0.35714285714285715,0.6428571428571429,0.2406647742478952,0.08607799865746489,0.1554116010828028,0.0,24.839855299115737,24.839855299115737,0.0027063959089787073,0.0026993772147544076,0.0003441836158634966,0.003941502396572914,0.003925750798518728,0.0005020964754448643,0.0,0.6785714285714187,0.6785714285714187,0.858,0.7676,9.0388,0.8388357162475586,7.215356111526489,2.3751142024993896
config04,0.13423965408090807,0.09536594639540012,0.03970540723118256,0.9944346216113054,0.7801489073255912,0.21428571428571427,0.236926735314377,0.1861824180549035,0.05311788423486463,0.0,24.839855299115737,24.839855299115737,0.029964548476761655,0.030166581747805652,0.0006985847008719869,0.04093448006364793,0.041084211943792956,0.0011002315034846259,0.0,0.8928571428571329,0.8928571428571329,0.858,0.813,4.504,0.9812097549438477,14.667085409164429,2.5499660968780518
config05,0.1540264520569619,0.10199214059826325,0.05271278049266371,0.9865702615311044,0.6914253247750376,0.2951449367560666,0.23647044887178792,0.16558152390897082,0.07220952322454115,0.0,24.839855299115737,24.839855299115737,0.020828223460181372,0.026106238331449927,0.00552117955924689,0.028145975900964775,0.03462376613355699,0.006992237663172135,0.0,0.8571428571428684,0.8571428571428684,0.858,0.7605,9.7553,1.0644912719726562,27.19800090789795,5.363246202468872
config06,0.1512466451182926,0.07294051134082657,0.07859916832602853,0.9893386917741207,0.5513366121609111,0.43800207961320947,0.23965348554581076,0.1340538856739219,0.1061392463376432,0.0,24.839855299115737,24.839855299115737,0.016720351779843403,0.0221730394404356,0.005519932579708582,0.019337695399007794,0.026136086033169036,0.006836036048795428,0.0,0.7857142857142966,0.7857142857142966,0.858,0.7605,9.7553,1.0442092418670654,26.26584029197693,5.114953279495239
config07,0.1477367775000025,0.08257697496903026,0.06561956049444248,0.995180474450153,0.6379915499260729,0.3571889245240801,0.23626204881387466,0.15054600815173275,0.08707612525062847,0.0,24.839855299115737,24.839855299115737,0.02567753972696677,0.026063838967233206,0.0004822629188924356,0.03234335866686856,0.032768675796803044,0.0006431743715777096,0.0,0.8214285714285615,0.8214285714285615,0.858,0.818,4.0025,1.0314157009124756,12.332003355026245,2.5672619342803955
config08,0.14427525940659175,0.10502459473171288,0.039547394956818506,0.9996402356894972,0.7853545214037828,0.21428571428571427,0.24006589829199704,0.1886196018900788,0.05260456198695192,0.0,24.839855299115737,24.839855299115737,0.020577404023482078,0.020718768644514444,0.0005982337586766617,0.027561568519898386,0.027740587143219458,0.0008419940662855071,0.0,0.8928571428571329,0.8928571428571329,0.858,0.8099,4.8111,1.0007908344268799,14.391700983047485,2.441680669784546
config09,0.1393571273838531,0.11340939075370815,0.026733964022181318,0.9996468167439575,0.8567896738868147,0.14285714285714285,0.24019751938120543,0.2065792995125632,0.03632961430633486,0.0,24.839855299115737,24.839855299115737,0.020626359694926242,0.021174879931347618,0.0006867903640302144,0.026070025383060243,0.026771889336313137,0.0008529671564410441,0.0,0.9285714285714496,0.9285714285714496,0.858,0.8035,5.456,1.0407984256744385,15.482805490493774,2.453960418701172
config10,0.1256928649348005,0.06041422775981547,0.0655573284567302,0.999135688180865,0.6416659719998069,0.357469716181058,0.2404870857774639,0.154567032427049,0.08732839900494452,0.0,24.839855299115737,24.839855299115737,0.02125198086518972,0.022070688044966442,0.0012373425935352394,0.026620709539066836,0.027527975620352974,0.0015456797290424786,0.0,0.8214285714285834,0.8214285714285834,0.858,0.7638,9.4175,1.0163383483886719,14.441558122634888,3.0935306549072266
config11,0.13748812294094814,0.07199091085335721,0.06559023305531686,0.9889855085180782,0.62241200033344,0.3665735081846381,0.2385478683964603,0.149969069044036,0.08920180584134392,0.0,24.839855299115737,24.839855299115737,0.027394764482521712,0.03284127519070853,0.005857335351601634,0.034964448617434855,0.04171184136716383,0.007330118360757663,0.0,0.8214285714285827,0.8214285714285827,0.858,0.7605,9.7553,0.9635977745056152,26.06502628326416,4.5544114112854
config12,0.14424636988249734,0.11864842414907706,0.02677116780105814,0.9947943859218082,0.8519372430646655,0.14285714285714285,0.23705835640358539,0.20399294510961838,0.036057597388637556,0.0,24.839855299115737,24.839855299115737,0.020605236858658314,0.020446975795182214,0.0003471472134931687,0.028637522529817796,0.028370975281562266,0.0005856604516437564,0.0,0.9285714285714187,0.9285714285714187,0.858,0.8065,5.1489,1.0405805110931396,15.733602523803711,2.499584436416626
config13,0.17050107113834723,0.07927107564116613,0.09170304532716449,0.9996358483198567,0.4996358483198568,0.5,0.2404607615596222,0.12059782298718447,0.12112650102883817,0.0,24.839855299115737,24.839855299115737,0.001973372680752238,0.00213399576031411,0.00018179903965479652,0.0028929460752181355,0.0031283863351535784,0.0002661394455826214,0.0,0.7499999999999901,0.7499999999999901,0.858,0.7654,9.264,0.8861019611358643,9.356568813323975,2.293466091156006
config14,0.15029833317895971,0.0849001990303201,0.06566393981427747,0.9993067955968359,0.6421134837031154,0.3571933118937204,0.23958328763156628,0.15357548688834582,0.08691159888911797,0.0,24.839855299115737,24.839855299115737,0.007744278501084495,0.007878677513181132,0.00020223987033729488,0.010680010113230142,0.01086389518078637,0.0002792089791844028,0.0,0.8214285714285714,0.8214285714285714,0.858,0.7763,8.1687,1.006350040435791,12.185214757919312,2.4911608695983887
config15,0.14451217130372798,0.10559216717375,0.03954014921471225,0.9491438048146995,0.7297380301587789,0.21940577465592054,0.22838233293993257,0.17560885722182976,0.05444506355104921,0.0,24.839855299115737,24.839855299115737,0.04813799763649334,0.05162796374157615,0.0037505403004968883,0.06180610812457655,0.06745606716148962,0.0061901567855216855,0.0,0.8928571428571591,0.8928571428571591,0.858,0.7605,9.7553,1.0488831996917725,65.62703657150269,7.592490911483765
config16,0.12478401399052984,0.11164171823210586,0.013781337078869142,0.9947943859218082,0.9233548460691362,0.07143953985267212,0.23636734568524134,0.21926757251225173,0.01942507908233771,0.0,24.839855299115737,24.839855299115737,0.025065386245129447,0.025640215950322332,0.0008061516669841936,0.03451763073080898,0.035217503788658414,0.001210253877315824,0.0,0.9642857142857327,0.9642857142857327,0.858,0.8105,4.7497,1.046325445175171,17.019639492034912,2.567528247833252
config17,0.1536538823698597,0.10169547856369696,0.05266850687878011,0.9996512041135978,0.713936918399312,0.2857142857142857,0.24028087940437073,0.17226568155593674,0.06994125312051662,0.0,24.839855299115737,24.839855299115737,0.010584230337531055,0.010451198083565937,0.00030222280035897294,0.012952247917453807,0.012870539072351342,0.00031335112656300255,0.0,0.8571428571428472,0.8571428571428472,0.858,0.7749,8.312,0.9808132648468018,13.344529151916504,2.4609081745147705
config18,0.14910843517219066,0.09694523588779377,0.052703210634429565,0.9944346216113054,0.7087203358970198,0.2857142857142857,0.23623572459603295,0.16752951602925495,0.06990396047857424,0.0,24.839855299115737,24.839855299115737,0.0266918615351464,0.026765567751640622,0.0004959382489089585,0.03622868989794388,0.03628047921505068,0.000776830999287357,0.0,0.8571428571428472,0.8571428571428472,0.858,0.8135,4.4529,0.9647839069366455,13.243510007858276,2.527620792388916
config19,0.1426775363188748,0.11699335143938797,0.02675735602834563,0.9944346216113054,0.8515774787541625,0.14285714285714285,0.2364901920351692,0.20297946272271378,0.03577461204683953,0.0,24.839855299115737,24.839855299115737,0.026522414640741187,0.026352533834448577,0.0003187884125443663,0.035646777479850865,0.03530845599149237,0.0005232745586479199,0.0,0.928571428571433,0.928571428571433,0.858,0.8139,4.4119,1.072707176208496,16.113965034484863,2.5826504230499268
config20,0.1318095131994938,0.07964547810373121,0.05266296179654044,0.9560473309436794,0.6652590522404103,0.290788278703269,0.23262272569726278,0.16223176718861737,0.07191337577382227,0.0,24.839855299115737,24.839855299115737,0.047908646112266175,0.05112100386816602,0.0038277478361431324,0.05897815221223095,0.064358060924649,0.006115008726180179,0.0,0.8571428571428736,0.8571428571428736,0.858,0.7605,9.7553,0.9815943241119385,64.81497168540955,7.6003334522247314
config21,0.16904630723159725,0.07751009809930395,0.09176267466741754,1.0,0.49998903157589936,0.5000109684241006,0.2406647742478952,0.11976861012517163,0.12138316215279452,0.0,24.839855299115737,24.839855299115737,0.009124176016940566,0.00908084497638346,0.00024290385567001923,0.011220072442131622,0.011079548594493536,0.0002966746693679274,0.0,0.7500000000000208,0.7500000000000208,0.858,0.7688,8.9262,0.9361281394958496,9.751251697540283,2.3977811336517334
config22,0.16055437138966933,0.09545569553149913,0.0656409048099209,0.9941011815186441,0.6369254191034849,0.35717576241515925,0.23607997297380304,0.15051968393389112,0.08661764512321926,0.0,24.839855299115737,24.839855299115737,0.01898678601283482,0.01895283832270202,0.0003217025882289299,0.027863100855988743,0.027797792679719907,0.0006127931163384026,0.0,0.8214285714285615,0.8214285714285615,0.858,0.8121,4.5962,0.9709560871124268,12.323124408721924,2.54453706741333
config23,0.130530964347524,0.07843427640652433,0.05245207417913531,0.9984490648321611,0.7123750148073726,0.28607405002478864,0.2394801844450197,0.1712039381029891,0.06985131204289088,0.0,24.839855299115737,24.839855299115737,0.016601647715800343,0.017640512907645865,0.0011469028139549657,0.01983532039327666,0.021147228975369605,0.0014384477060816572,0.0,0.8571428571428686,0.8571428571428686,0.858,0.7664,9.1616,1.023728847503662,15.793606996536255,3.091780185699463
config24,0.1433504530618451,0.0914791492079572,0.05268964240984595,0.9947943859218082,0.7090801002075225,0.2857142857142857,0.2373062427882612,0.1694731207798988,0.07025056268015632,0.0,24.839855299115737,24.839855299115737,0.028605822751127673,0.02858674774731464,0.0006415549912435157,0.03651505307978311,0.036435435576122846,0.0008333738364837499,0.0,0.8571428571428472,0.8571428571428472,0.858,0.8072,5.0773,1.045475959777832,13.529908895492554,2.5587575435638428
config25,0.1499224198421654,0.058425936744585565,0.09162815282904248,0.9989579997104335,0.4989250944381315,0.5000329052723022,0.23923449174516406,0.11877267721682817,0.12120766736718333,0.0,24.839855299115737,24.839855299115737,0.022896811400060387,0.022822140135540816,0.00040963685855901035,0.02943042824049757,0.02948053308604959,0.0005931041961169357,0.0,0.7499999999999901,0.7499999999999901,0.858,0.8139,4.4119,0.9190733432769775,9.672527551651001,2.5292391777038574
config26,0.15267102600857713,0.10045078290164297,0.052501281478503484,0.9553124465289324,0.6644912625533613,0.2908211839755711,0.2318198370530916,0.16104937107056205,0.07139347247144916,0.0,24.839855299115737,24.839855299115737,0.04155073305097547,0.04500934385509733,0.0036069358838532913,0.050446247128631425,0.056068801466192406,0.005796484598069716,0.0,0.8571428571428731,0.8571428571428731,0.858,0.7605,9.7553,1.0269734859466553,64.45966863632202,7.538538932800293
config27,0.1467597589503151,0.08168257124586815,0.06553587351717774,0.9564005141997219,0.5941836640678814,0.36221685013184046,0.23339490275395197,0.14627709749174075,0.08865338463630898,0.0,24.839855299115737,24.839855299115737,0.03783203919403307,0.041374675236947746,0.0035547390309348553,0.04621638142912239,0.05200704184860826,0.005804647907356512,0.0,0.8214285714285882,0.8214285714285882,0.858,0.7605,9.7553,0.9678552150726318,63.66801190376282,7.561631202697754
config28,0.15449398658292773,0.1158354704111231,0.03977979477958785,0.9947943859218082,0.7805086716360939,0.21428571428571427,0.23705835640358539,0.18668477187871552,0.05286122311090828,0.0,24.839855299115737,24.839855299115737,0.016420867509823557,0.01631899632732837,0.0003223419814395344,0.02329889706107621,0.023052956747213565,0.0005423212891589414,0.0,0.8928571428571556,0.8928571428571556,0.858,0.8079,5.0159,0.9949252605438232,14.564895629882812,2.537759780883789
config29,0.15771959944480168,0.11886924570053611,0.03980230004149974,0.9975957214371268,0.7832639397701896,0.21433178166693723,0.23877601161775486,0.1880558248913029,0.05329557270529596,0.0,24.839855299115737,24.839855299115737,0.014567183535376196,0.014667529482442173,0.0003425807689924658,0.01853945693773734,0.018697205410803695,0.0004473758713915467,0.0,0.892857142857163,0.892857142857163,0.858,0.7854,7.2577,1.010308027267456,14.777016878128052,2.562163829803467
